customer_id,name,age,nationality,occupation,account_opening_date,pep_status,sanctions_match,address_change_count
CUST000001,Allison Hill,69,Oman,Teacher,2021-12-13,0,0,1
CUST000002,Noah Rhodes,32,Liberia,Manager,2023-11-21,0,0,1
CUST000003,Angie Henderson,89,Luxembourg,IT Professional,2018-04-12,0,0,1
CUST000004,Daniel Wagner,78,Nauru,IT Professional,2018-12-15,0,0,0
CUST000005,Cristian Santos,38,Bahrain,Business Owner,2019-06-11,0,0,1
CUST000006,Connie Lawrence,41,South Africa,Government Employee,2021-04-26,0,0,1
CUST000007,Abigail Shaffer,20,"Palestine, State of",Business Owner,2022-02-24,0,0,1
CUST000008,Gina Moore,39,Guinea,Unemployed,2012-03-20,0,0,1
CUST000009,Gabrielle Davis,70,Curaçao,Consultant,2022-07-01,0,0,0
CUST000010,Ryan Munoz,19,Marshall Islands,Student,2011-03-16,0,0,4
CUST000011,Monica Herrera,47,Guam,Teacher,2014-12-26,0,0,0
CUST000012,Jamie Arnold,55,Maldives,Business Owner,2023-09-26,0,0,2
CUST000013,Lisa Hensley,19,Netherlands,Financial Analyst,2023-10-12,0,0,4
CUST000014,Michele Williams,81,Mauritius,IT Professional,2022-05-07,0,0,1
CUST000015,Dylan Miller,77,Tonga,Consultant,2019-07-18,0,0,3
CUST000016,Brian Ramirez,38,Tajikistan,Student,2019-03-26,0,0,0
CUST000017,Holly Wood,50,Papua New Guinea,Sales Representative,2013-02-11,0,0,1
CUST000018,Derek Zuniga,75,Kyrgyzstan,Student,2010-12-12,0,0,1
CUST000019,Lisa Jackson,39,Philippines,Consultant,2023-11-08,0,0,0
CUST000020,Carla Gray,66,Argentina,Government Employee,2011-11-11,0,0,1
CUST000021,Margaret Hawkins DDS,76,French Polynesia,Sales Representative,2019-12-28,0,0,1
CUST000022,Patty Perez,59,Pakistan,Accountant,2012-03-23,0,0,2
CUST000023,Ethan Adams,77,Mongolia,Financial Analyst,2015-01-15,0,1,4
CUST000024,Tommy Walter,32,Namibia,IT Professional,2019-07-04,0,0,0
CUST000025,Matthew Foster,79,"Saint Helena, Ascension and Tristan da Cunha",Government Employee,2014-05-17,0,0,1
CUST000026,Judy Baker,79,Syrian Arab Republic,Unemployed,2011-03-26,0,0,1
CUST000027,Justin Baker,64,"Saint Helena, Ascension and Tristan da Cunha",Unemployed,2018-03-18,0,0,1
CUST000028,Stephanie Ross,79,Switzerland,Consultant,2024-04-20,0,0,2
CUST000029,Zachary Hicks,68,Costa Rica,Business Owner,2020-11-13,0,0,1
CUST000030,Anthony Rodriguez,72,Tonga,Student,2014-12-20,0,0,0
CUST000031,Rebecca Henderson,81,Qatar,Student,2016-10-25,0,0,2
CUST000032,James Ferrell,20,Fiji,Government Employee,2018-03-20,0,0,3
CUST000033,Tricia Valencia,68,Central African Republic,Student,2020-12-17,0,0,1
CUST000034,Nathan Maldonado,24,Saint Kitts and Nevis,Consultant,2019-08-15,0,0,1
CUST000035,Debra Davidson,38,Australia,Researcher,2016-11-24,0,0,0
CUST000036,Jeffrey Chavez,90,Solomon Islands,Researcher,2022-02-26,0,0,0
CUST000037,Sherri Baker,56,Malawi,Manager,2022-05-15,0,0,0
CUST000038,Cassandra Gaines,35,"Korea, Republic of",Student,2015-12-05,0,0,1
CUST000039,Elizabeth Fowler,21,Israel,Government Employee,2022-04-12,0,0,4
CUST000040,Brittany Farmer,77,Sri Lanka,Manager,2016-05-25,0,0,1
CUST000041,Paula Moreno,31,Ghana,Researcher,2016-09-25,0,0,0
CUST000042,Fred Smith,26,Armenia,Unemployed,2010-11-28,0,0,0
CUST000043,Sherry Decker,70,Greenland,Unemployed,2018-07-08,0,0,1
CUST000044,Anthony Humphrey,19,Belarus,Retired,2023-06-23,0,0,2
CUST000045,Angelica Tucker,77,Sao Tome and Principe,Accountant,2014-02-22,0,0,1
CUST000046,Philip Cannon,88,Brunei Darussalam,Retired,2012-06-03,0,0,1
CUST000047,John Pierce,61,Albania,Researcher,2021-08-25,0,0,1
CUST000048,Shane Henderson,25,"Moldova, Republic of",Lawyer,2015-12-17,0,0,0
CUST000049,Joshua Blair,64,Israel,Government Employee,2022-09-06,0,0,0
CUST000050,Eric Carney,52,Botswana,Retired,2012-01-25,0,0,0
CUST000051,Jessica Holmes,53,Faroe Islands,Teacher,2017-11-15,0,0,0
CUST000052,Danny Morgan,67,Guatemala,Sales Representative,2010-07-30,0,0,0
CUST000053,Crystal Robinson,21,Malta,Teacher,2016-05-03,0,0,1
CUST000054,Mark Perez,19,Egypt,Engineer,2011-07-02,0,0,2
CUST000055,Shannon Jones,23,Macao,Researcher,2020-02-19,0,0,2
CUST000056,Michael Lewis,71,United Arab Emirates,Researcher,2022-11-21,0,0,2
CUST000057,Timothy Duncan,21,South Africa,Retired,2023-06-03,0,0,3
CUST000058,Richard Aguirre,71,Saint Kitts and Nevis,Government Employee,2019-05-04,0,0,0
CUST000059,Brent Jordan,80,Gibraltar,Business Owner,2017-12-16,0,0,3
CUST000060,John Daniel,35,Pitcairn,Doctor,2022-08-29,0,0,1
CUST000061,Victoria Garcia,61,Lesotho,Retired,2019-03-24,0,0,1
CUST000062,Gerald Hensley,51,Papua New Guinea,IT Professional,2022-03-08,0,0,1
CUST000063,Connor West,79,Guinea,Accountant,2015-12-04,0,0,0
CUST000064,Donald Wright,31,Singapore,Researcher,2018-03-19,0,0,5
CUST000065,Jessica Callahan,65,Côte d'Ivoire,Retired,2014-04-12,0,0,0
CUST000066,Amber Kidd,32,Macao,Manager,2016-04-07,0,0,1
CUST000067,Tracy House,89,Gambia,Engineer,2020-10-19,0,0,1
CUST000068,Carol Tucker,79,Austria,IT Professional,2016-02-23,0,0,0
CUST000069,James Brown,57,Faroe Islands,Researcher,2016-06-24,0,0,0
CUST000070,William Baker,70,Singapore,Unemployed,2019-10-01,0,0,0
CUST000071,Jordan Henderson,41,"Virgin Islands, British",Student,2018-06-17,0,0,0
CUST000072,Whitney Peters,43,Argentina,Financial Analyst,2022-11-06,0,0,3
CUST000073,Brittney Phillips,77,Germany,Unemployed,2010-10-14,0,0,1
CUST000074,Lauren Daniels,58,"Micronesia, Federated States of",Engineer,2020-08-11,0,0,0
CUST000075,Amy Silva,46,Faroe Islands,Engineer,2012-06-20,0,0,2
CUST000076,Sarah Moore,32,Samoa,Sales Representative,2018-12-16,0,0,5
CUST000077,Angela Lopez,62,Zimbabwe,IT Professional,2020-10-13,0,0,0
CUST000078,Megan Young,82,Estonia,IT Professional,2014-01-30,0,0,0
CUST000079,Steve Sanchez,88,Australia,Researcher,2015-12-09,0,0,5
CUST000080,Lisa Barnes,26,Estonia,IT Professional,2018-05-24,0,0,0
CUST000081,Kelly Donovan,18,Hungary,Consultant,2011-12-16,0,0,1
CUST000082,Mike Allen,25,Tunisia,Financial Analyst,2019-07-10,0,0,0
CUST000083,Michael Evans,80,Nepal,Unemployed,2017-03-05,0,0,4
CUST000084,Paul Jones,28,Burkina Faso,Unemployed,2023-03-12,0,0,5
CUST000085,Zachary Ferrell,25,Mozambique,Doctor,2019-04-24,0,0,3
CUST000086,Daniel Baker,52,Jamaica,Engineer,2023-09-24,0,0,1
CUST000087,Shirley Suarez,52,"Taiwan, Province of China",Unemployed,2017-05-16,0,0,1
CUST000088,Christopher Bass,50,Oman,Consultant,2015-06-14,0,0,0
CUST000089,Lisa Archer,22,Aruba,Sales Representative,2018-06-11,0,0,3
CUST000090,Aimee Montoya,58,Armenia,Student,2022-12-18,0,0,4
CUST000091,Matthew Mcmillan,45,United States,Teacher,2019-09-19,0,0,1
CUST000092,Brian Rodriguez,24,Suriname,Researcher,2011-09-23,0,0,2
CUST000093,Denise Jacobs,90,Iceland,Government Employee,2017-05-23,0,0,0
CUST000094,Christina Walters,89,Sierra Leone,Student,2019-09-06,0,0,1
CUST000095,John Whitehead,29,Paraguay,Unemployed,2013-04-02,0,0,2
CUST000096,Anna Henderson,51,Jamaica,IT Professional,2015-07-29,0,0,1
CUST000097,Aaron Wise,50,Chad,Unemployed,2014-02-27,0,0,1
CUST000098,Deborah Figueroa,65,Colombia,Consultant,2021-03-30,0,0,0
CUST000099,Jessica Smith,40,Antarctica,Business Owner,2018-07-05,0,0,3
CUST000100,Stephen Mckee,79,Equatorial Guinea,Engineer,2021-04-26,0,0,3
CUST000101,Sandra Aguilar,54,Slovakia,Financial Analyst,2018-12-01,0,0,4
CUST000102,Cameron Parker,61,Réunion,IT Professional,2011-11-10,0,0,2
CUST000103,Rebecca Valencia,52,Montserrat,Consultant,2012-05-11,0,0,1
CUST000104,Christine Wright,82,Saint Vincent and the Grenadines,Engineer,2018-07-22,0,0,0
CUST000105,Richard Henson,64,Italy,Teacher,2011-05-04,0,0,5
CUST000106,Marc Moore,20,"Micronesia, Federated States of",Accountant,2014-11-03,0,0,1
CUST000107,Sharon Cherry,18,Nepal,Engineer,2011-05-12,0,0,2
CUST000108,Sierra Johnson,22,Nigeria,IT Professional,2015-06-29,0,0,2
CUST000109,Evelyn Galvan,31,Kiribati,Consultant,2016-04-30,0,0,3
CUST000110,Sharon Cochran,44,Bangladesh,Government Employee,2019-07-13,0,0,0
CUST000111,Richard Rodriguez,26,New Zealand,Financial Analyst,2021-05-06,0,0,0
CUST000112,Shannon Walker,32,Luxembourg,Doctor,2013-01-07,0,0,2
CUST000113,Julia Torres,59,"Venezuela, Bolivarian Republic of",Financial Analyst,2013-05-19,0,0,3
CUST000114,Crystal Johnson,68,"Saint Helena, Ascension and Tristan da Cunha",Government Employee,2022-05-30,0,0,2
CUST000115,Garrett Lin,80,New Zealand,IT Professional,2023-05-24,0,0,1
CUST000116,Diana May,69,Bahrain,Lawyer,2021-12-27,0,0,1
CUST000117,William Herrera,21,Burundi,IT Professional,2021-01-07,0,0,2
CUST000118,Ashley Waller,40,Russian Federation,IT Professional,2020-11-10,0,0,2
CUST000119,Victor Baker,32,Madagascar,Engineer,2014-12-24,0,0,2
CUST000120,Jeffrey Chandler,60,Chile,Researcher,2011-01-27,0,0,0
CUST000121,Larry Dixon,46,"Micronesia, Federated States of",IT Professional,2023-01-09,1,0,4
CUST000122,Kenneth Scott,53,Saint Barthélemy,Financial Analyst,2015-10-26,0,0,1
CUST000123,April Frost,30,Mali,Lawyer,2015-11-21,0,0,2
CUST000124,Michelle Harmon,49,Czechia,Financial Analyst,2011-01-31,0,0,0
CUST000125,Helen Jones,88,Réunion,Student,2013-12-13,0,0,1
CUST000126,Erin Edwards,76,Denmark,Retired,2012-07-31,0,0,3
CUST000127,Michelle Evans,45,"Palestine, State of",IT Professional,2018-10-23,0,0,0
CUST000128,Jason Powell,83,Greenland,Unemployed,2012-01-15,0,0,1
CUST000129,Cameron Fisher,59,Papua New Guinea,Accountant,2024-03-10,0,0,1
CUST000130,Megan Orr,62,Christmas Island,IT Professional,2021-11-17,0,0,2
CUST000131,Elizabeth Kelley,79,Martinique,Sales Representative,2012-05-28,0,0,0
CUST000132,Dustin Jordan,74,Namibia,Manager,2018-06-19,0,0,0
CUST000133,Mary Marshall,23,Israel,Accountant,2016-10-26,0,0,4
CUST000134,Daniel Kennedy,45,Saint Martin (French part),Government Employee,2021-12-12,0,0,1
CUST000135,Rebecca Jackson,45,Ukraine,Consultant,2017-11-12,0,0,0
CUST000136,Jose Schultz,61,Tonga,Researcher,2014-09-12,0,0,0
CUST000137,Robert Potter,47,Eswatini,Financial Analyst,2020-11-25,0,0,5
CUST000138,Courtney Gonzalez,79,Tajikistan,IT Professional,2014-04-10,0,0,0
CUST000139,David Alvarez,79,Trinidad and Tobago,Manager,2024-05-17,0,0,2
CUST000140,Angel Perry,18,Eritrea,Student,2018-07-17,0,0,1
CUST000141,Cheyenne Horton,44,Cameroon,Accountant,2013-03-22,0,0,3
CUST000142,David Douglas Jr.,79,Zimbabwe,Sales Representative,2020-06-10,0,0,2
CUST000143,Patricia Rodriguez,20,Tunisia,Manager,2013-01-23,0,0,1
CUST000144,Christopher Rubio,87,"Virgin Islands, British",Teacher,2022-01-23,0,0,0
CUST000145,Amber Wright,89,Egypt,Doctor,2017-10-03,0,0,3
CUST000146,Joyce Solis,44,Montserrat,Accountant,2013-01-23,0,0,1
CUST000147,Victoria Larson,26,Macao,Student,2010-10-16,0,0,4
CUST000148,Stephanie Salazar,79,Albania,Engineer,2019-12-27,0,0,1
CUST000149,Kathy Rivas,54,Suriname,Sales Representative,2021-01-07,0,0,2
CUST000150,Stephanie Manning,68,Bulgaria,Manager,2016-01-23,0,0,0
CUST000151,David Wright,61,Peru,IT Professional,2020-10-28,0,0,2
CUST000152,Pamela Boyd,41,Uganda,Manager,2012-05-08,0,0,1
CUST000153,Denise Jones,76,French Guiana,Doctor,2012-07-21,0,0,1
CUST000154,Devon Flores,49,Pakistan,Manager,2024-06-08,0,0,0
CUST000155,Brenda Hall,69,French Southern Territories,Lawyer,2011-01-06,0,0,0
CUST000156,Michelle Brown,79,"Saint Helena, Ascension and Tristan da Cunha",Business Owner,2017-03-06,0,0,0
CUST000157,Joshua Perry,75,Bahrain,Lawyer,2013-06-28,0,0,1
CUST000158,Jason Stein,69,Myanmar,Researcher,2024-01-05,0,0,3
CUST000159,Melissa Gates,29,Kenya,Manager,2021-12-09,0,0,1
CUST000160,Jamie Smith,56,Guernsey,Sales Representative,2016-04-22,0,0,2
CUST000161,Paul Castaneda,19,Israel,Unemployed,2017-07-20,0,0,0
CUST000162,Jennifer Adkins,20,Guernsey,Accountant,2019-01-29,0,0,1
CUST000163,Lindsey Walker,73,Ecuador,Unemployed,2023-02-24,0,0,1
CUST000164,Jeffrey Johnson,76,San Marino,Researcher,2019-01-17,0,0,5
CUST000165,Michael Powell,19,South Africa,Student,2011-09-22,0,0,3
CUST000166,John Anderson,19,Côte d'Ivoire,Researcher,2022-09-06,0,0,1
CUST000167,Alyssa Long,71,Jersey,Financial Analyst,2022-07-12,0,0,2
CUST000168,Alyssa Day,18,Pitcairn,Engineer,2013-07-19,0,0,0
CUST000169,Joel Williams,36,Denmark,Accountant,2022-11-24,0,0,1
CUST000170,Daniel Murphy,19,France,Teacher,2012-07-02,0,0,0
CUST000171,Jamie Walton,70,"Venezuela, Bolivarian Republic of",Accountant,2021-08-17,0,0,1
CUST000172,Darlene Miller,61,Serbia,Accountant,2021-07-27,0,0,0
CUST000173,Joshua Cooke,49,Jersey,IT Professional,2013-10-15,0,0,2
CUST000174,Matthew Harrington,87,Israel,Student,2012-02-13,0,0,1
CUST000175,Nicole Herring,49,Zimbabwe,Doctor,2020-09-29,0,0,2
CUST000176,Alex Hernandez,85,Portugal,Financial Analyst,2018-07-03,0,0,1
CUST000177,Michael Elliott,72,Somalia,Manager,2012-08-12,0,0,0
CUST000178,Michael Wang,73,Malta,Doctor,2010-11-04,0,0,2
