transaction_id,customer_id,transaction_date,amount,transaction_type,is_cash_transaction,is_cross_border,country_code,risk_rating,country_risk_score,name,suspicious_probability,transaction_risk_score
TXN00003917,CUST000435,2023-08-08 16:13:09,5067.06,deposit,1,0,US,low,0,Ashley Wise,0.7287756634557531,8.067060000000001
TXN00009187,CUST000435,2025-03-09 21:00:09,144.95,deposit,1,0,US,low,0,Ashley Wise,0.7287756634557531,3.14495
TXN00004424,CUST000435,2023-10-04 23:18:09,136.85,withdrawal,1,0,US,low,0,Ashley Wise,0.7287756634557531,3.13685
TXN00000985,CUST000435,2022-09-25 04:08:09,61.26,payment,1,0,US,low,0,Ashley Wise,0.7287756634557531,3.06126
TXN00007524,CUST000435,2024-09-10 02:08:09,156.35,transfer,0,1,WF,low,0,Ashley Wise,0.7287756634557531,2.1563499999999998
TXN00000160,CUST000435,2022-06-28 20:34:09,1232.69,transfer,0,0,US,low,0,Ashley Wise,0.7287756634557531,1.23269
TXN00004987,CUST000435,2023-12-08 07:48:09,1036.18,deposit,0,0,US,low,0,Ashley Wise,0.7287756634557531,1.03618
TXN00001860,CUST000435,2022-12-28 19:05:09,281.96,payment,0,0,US,low,0,Ashley Wise,0.7287756634557531,0.28196
TXN00006616,CUST000435,2024-06-09 04:53:09,170.68,transfer,0,0,US,low,0,Ashley Wise,0.7287756634557531,0.17068
TXN00004137,CUST000435,2023-09-03 04:55:09,157.85,transfer,0,0,US,low,0,Ashley Wise,0.7287756634557531,0.15785
TXN00007430,CUST000366,2024-08-30 09:28:09,774.65,withdrawal,1,1,FK,low,0,Kenneth Lewis,0.7031371232016891,5.774649999999999
TXN00005989,CUST000366,2024-03-31 13:38:09,368.66,deposit,0,0,US,low,0,Kenneth Lewis,0.7031371232016891,0.36866000000000004
TXN00006633,CUST000366,2024-06-10 19:12:09,330.96,deposit,0,0,US,low,0,Kenneth Lewis,0.7031371232016891,0.33096
TXN00002636,CUST000366,2023-03-20 19:06:09,250.14,payment,0,0,US,low,0,Kenneth Lewis,0.7031371232016891,0.25014
TXN00005918,CUST000366,2024-03-23 01:15:09,222.84,transfer,0,0,US,low,0,Kenneth Lewis,0.7031371232016891,0.22284
TXN00001616,CUST000370,2022-12-02 23:29:09,191.48,withdrawal,1,0,US,low,0,Sabrina Austin,0.7004279882367841,3.19148
TXN00007606,CUST000370,2024-09-19 00:31:09,177.01,transfer,0,0,US,low,0,Sabrina Austin,0.7004279882367841,0.17701
TXN00007407,CUST000370,2024-08-28 20:59:09,55.93,transfer,0,0,US,low,0,Sabrina Austin,0.7004279882367841,0.05593
TXN00007263,CUST000370,2024-08-14 18:46:09,55.13,transfer,0,0,US,low,0,Sabrina Austin,0.7004279882367841,0.055130000000000005
TXN00004413,CUST000370,2023-10-03 13:22:09,13.04,transfer,0,0,US,low,0,Sabrina Austin,0.7004279882367841,0.01304
TXN00007896,CUST000630,2024-10-17 10:14:09,10.0,withdrawal,0,0,US,low,0,Kevin Davis,0.6997050959977636,0.01
TXN00004349,CUST000583,2023-09-28 07:31:09,581.91,withdrawal,1,0,US,low,0,Gregory Peck,0.693330954631784,3.5819099999999997
TXN00001161,CUST000583,2022-10-12 23:16:09,373.52,transfer,0,0,US,low,0,Gregory Peck,0.693330954631784,0.37351999999999996
TXN00006791,CUST000583,2024-06-27 03:47:09,258.87,transfer,0,0,US,low,0,Gregory Peck,0.693330954631784,0.25887
TXN00003607,CUST000583,2023-07-03 19:31:09,211.19,transfer,0,0,US,low,0,Gregory Peck,0.693330954631784,0.21119
TXN00005970,CUST000583,2024-03-29 13:48:09,100.98,withdrawal,0,0,US,low,0,Gregory Peck,0.693330954631784,0.10098
TXN00002154,CUST000583,2023-01-28 03:42:09,10.0,transfer,0,0,US,low,0,Gregory Peck,0.693330954631784,0.01
TXN00009504,CUST000882,2025-04-13 19:29:09,263.19,withdrawal,1,0,US,low,0,Denise Brown,0.6926672090446137,3.26319
TXN00004094,CUST000882,2023-08-29 17:19:09,224.52,payment,0,0,US,low,0,Denise Brown,0.6926672090446137,0.22452
TXN00005176,CUST000566,2023-12-29 07:27:09,724.76,payment,1,0,US,low,0,John Coffey,0.684846747348554,3.72476
TXN00000738,CUST000566,2022-08-30 22:11:09,238.51,transfer,0,0,US,low,0,John Coffey,0.684846747348554,0.23851
TXN00002923,CUST000566,2023-04-20 13:32:09,236.61,transfer,0,0,US,low,0,John Coffey,0.684846747348554,0.23661000000000001
TXN00007022,CUST000566,2024-07-21 22:16:09,212.5,transfer,0,0,US,low,0,John Coffey,0.684846747348554,0.2125
TXN00008265,CUST000566,2024-11-24 16:07:09,96.19,transfer,0,0,US,low,0,John Coffey,0.684846747348554,0.09619
TXN00004038,CUST000527,2023-08-22 20:06:09,415.07,deposit,1,0,US,low,0,Todd Moore,0.6824511652934092,3.41507
TXN00002480,CUST000527,2023-03-04 20:06:09,72.38,withdrawal,1,0,US,low,0,Todd Moore,0.6824511652934092,3.07238
TXN00009775,CUST000527,2025-05-17 00:11:09,996.04,payment,0,0,US,low,0,Todd Moore,0.6824511652934092,0.9960399999999999
TXN00005376,CUST000527,2024-01-22 11:57:09,665.22,transfer,0,0,US,low,0,Todd Moore,0.6824511652934092,0.66522
TXN00006642,CUST000527,2024-06-11 18:26:09,627.3,deposit,0,0,US,low,0,Todd Moore,0.6824511652934092,0.6273
TXN00004945,CUST000527,2023-12-01 22:04:09,214.02,withdrawal,0,0,US,low,0,Todd Moore,0.6824511652934092,0.21402000000000002
TXN00001925,CUST000527,2023-01-03 21:04:09,168.93,transfer,0,0,US,low,0,Todd Moore,0.6824511652934092,0.16893
TXN00000756,CUST000527,2022-09-02 00:51:09,70.27,payment,0,0,US,low,0,Todd Moore,0.6824511652934092,0.07027
TXN00006066,CUST000527,2024-04-08 13:23:09,10.0,transfer,0,0,US,low,0,Todd Moore,0.6824511652934092,0.01
TXN00005209,CUST000679,2024-01-03 04:20:09,323.81,transfer,0,0,US,low,0,Jose Crawford,0.682110074011579,0.32381
TXN00006611,CUST000679,2024-06-08 19:11:09,202.67,transfer,0,0,US,low,0,Jose Crawford,0.682110074011579,0.20267
TXN00002482,CUST000699,2023-03-05 04:23:09,5362.59,deposit,1,0,US,low,0,Renee Browning,0.6806011716356091,8.36259
TXN00005617,CUST000699,2024-02-17 12:55:09,10.0,withdrawal,1,0,US,low,0,Renee Browning,0.6806011716356091,3.01
TXN00005538,CUST000699,2024-02-08 02:03:09,1010.8,withdrawal,0,0,US,low,0,Renee Browning,0.6806011716356091,1.0108
TXN00001081,CUST000515,2022-10-05 18:20:09,6456.72,payment,0,0,US,low,0,Angelica Parker,0.6726862321565773,6.456720000000001
TXN00002066,CUST000515,2023-01-19 01:11:09,234.75,deposit,0,0,US,low,0,Angelica Parker,0.6726862321565773,0.23475
TXN00002973,CUST000515,2023-04-24 18:25:09,96.6,transfer,0,0,US,low,0,Angelica Parker,0.6726862321565773,0.09659999999999999
TXN00005926,CUST000422,2024-03-24 08:03:09,9581.99,deposit,1,0,US,low,0,Maria Jones,0.6692830890945818,12.58199
TXN00005395,CUST000422,2024-01-24 02:25:09,7469.3,withdrawal,1,0,US,low,0,Maria Jones,0.6692830890945818,10.4693
TXN00004652,CUST000422,2023-10-30 05:54:09,282.13,withdrawal,1,0,US,low,0,Maria Jones,0.6692830890945818,3.28213
TXN00009577,CUST000422,2025-04-22 20:59:09,246.36,deposit,1,0,US,low,0,Maria Jones,0.6692830890945818,3.24636
TXN00005204,CUST000422,2024-01-01 16:20:09,10.15,transfer,1,0,US,low,0,Maria Jones,0.6692830890945818,3.01015
TXN00009110,CUST000422,2025-02-27 17:44:09,135.38,payment,0,1,UY,low,0,Maria Jones,0.6692830890945818,2.13538
TXN00001590,CUST000422,2022-11-30 09:16:09,531.48,transfer,0,0,US,low,0,Maria Jones,0.6692830890945818,0.5314800000000001
TXN00005245,CUST000422,2024-01-07 14:42:09,109.87,payment,0,0,US,low,0,Maria Jones,0.6692830890945818,0.10987000000000001
TXN00009897,CUST000422,2025-05-30 01:25:09,10.0,transfer,0,0,US,low,0,Maria Jones,0.6692830890945818,0.01
TXN00009657,CUST000967,2025-05-02 17:54:09,2638.58,deposit,1,0,US,low,0,Marie Thompson,0.6692330233705109,5.63858
TXN00004625,CUST000967,2023-10-27 12:35:09,401.73,deposit,1,1,MW,low,0,Marie Thompson,0.6692330233705109,5.401730000000001
TXN00008455,CUST000967,2024-12-15 03:20:09,381.52,payment,0,0,US,low,0,Marie Thompson,0.6692330233705109,0.38151999999999997
TXN00006359,CUST000967,2024-05-12 16:44:09,226.23,transfer,0,0,US,low,0,Marie Thompson,0.6692330233705109,0.22623
TXN00009922,CUST000680,2025-06-01 20:48:09,7408.68,transfer,0,0,US,low,0,William Harrison,0.6674514998733572,7.40868
TXN00005607,CUST000680,2024-02-16 16:59:09,380.21,withdrawal,1,0,US,low,0,William Harrison,0.6674514998733572,3.38021
TXN00002476,CUST000680,2023-03-04 11:16:09,276.71,transfer,1,0,US,low,0,William Harrison,0.6674514998733572,3.27671
TXN00005005,CUST000680,2023-12-09 12:11:09,237.45,deposit,1,0,US,low,0,William Harrison,0.6674514998733572,3.23745
TXN00000815,CUST000680,2022-09-08 21:10:09,10.0,transfer,0,0,US,low,0,William Harrison,0.6674514998733572,0.01
TXN00002405,CUST000377,2023-02-23 19:37:09,6185.38,payment,0,0,US,low,0,Glen Wood,0.6672632198397543,6.18538
TXN00001458,CUST000377,2022-11-14 19:32:09,1069.07,deposit,1,0,US,low,0,Glen Wood,0.6672632198397543,4.06907
TXN00005155,CUST000377,2023-12-26 21:17:09,89.8,deposit,1,0,US,low,0,Glen Wood,0.6672632198397543,3.0898
TXN00002531,CUST000377,2023-03-09 22:12:09,73.17,deposit,1,0,US,low,0,Glen Wood,0.6672632198397543,3.07317
TXN00004126,CUST000377,2023-09-02 02:18:09,10.0,deposit,1,0,US,low,0,Glen Wood,0.6672632198397543,3.01
TXN00009938,CUST000377,2025-06-04 07:03:09,10.0,payment,1,0,US,low,0,Glen Wood,0.6672632198397543,3.01
TXN00008015,CUST000377,2024-10-31 06:36:09,313.28,transfer,0,1,QA,low,0,Glen Wood,0.6672632198397543,2.31328
TXN00005433,CUST000377,2024-01-27 20:31:09,1311.51,deposit,0,0,US,low,0,Glen Wood,0.6672632198397543,1.31151
TXN00005715,CUST000377,2024-03-01 07:39:09,505.33,withdrawal,0,0,US,low,0,Glen Wood,0.6672632198397543,0.50533
TXN00006693,CUST000377,2024-06-17 11:03:09,412.13,transfer,0,0,US,low,0,Glen Wood,0.6672632198397543,0.41213
TXN00005187,CUST000377,2023-12-31 02:27:09,290.09,payment,0,0,US,low,0,Glen Wood,0.6672632198397543,0.29008999999999996
TXN00004072,CUST000377,2023-08-26 08:36:09,285.67,payment,0,0,US,low,0,Glen Wood,0.6672632198397543,0.28567000000000004
TXN00001935,CUST000377,2023-01-05 05:20:09,236.79,transfer,0,0,US,low,0,Glen Wood,0.6672632198397543,0.23679
TXN00005735,CUST000377,2024-03-03 15:48:09,223.56,payment,0,0,US,low,0,Glen Wood,0.6672632198397543,0.22356
TXN00003205,CUST000377,2023-05-18 18:32:09,184.4,withdrawal,0,0,US,low,0,Glen Wood,0.6672632198397543,0.1844
TXN00007063,CUST000377,2024-07-26 01:25:09,126.87,payment,0,0,US,low,0,Glen Wood,0.6672632198397543,0.12687
TXN00000106,CUST000096,2022-06-21 17:27:09,10089.89,withdrawal,1,0,US,low,0,Anna Henderson,0.6626629812599115,13.089889999999999
TXN00005933,CUST000096,2024-03-25 04:09:09,7203.43,withdrawal,0,0,US,low,0,Anna Henderson,0.6626629812599115,7.20343
TXN00007400,CUST000096,2024-08-28 07:23:09,829.24,transfer,1,1,CF,medium,1,Anna Henderson,0.6626629812599115,6.82924
TXN00005128,CUST000096,2023-12-24 04:45:09,43.56,withdrawal,1,1,SV,low,0,Anna Henderson,0.6626629812599115,5.043559999999999
TXN00000763,CUST000096,2022-09-02 14:18:09,10.0,deposit,1,1,WS,low,0,Anna Henderson,0.6626629812599115,5.01
TXN00003184,CUST000096,2023-05-16 08:20:09,1907.84,deposit,1,0,US,low,0,Anna Henderson,0.6626629812599115,4.90784
TXN00008076,CUST000096,2024-11-05 23:16:09,1628.11,withdrawal,1,0,US,low,0,Anna Henderson,0.6626629812599115,4.6281099999999995
TXN00003152,CUST000096,2023-05-11 22:14:09,1454.21,transfer,0,1,BI,low,0,Anna Henderson,0.6626629812599115,3.45421
TXN00006163,CUST000096,2024-04-21 00:15:09,381.13,transfer,1,0,US,low,0,Anna Henderson,0.6626629812599115,3.3811299999999997
TXN00001398,CUST000096,2022-11-08 10:06:09,311.53,withdrawal,1,0,US,low,0,Anna Henderson,0.6626629812599115,3.31153
TXN00001009,CUST000096,2022-09-27 17:35:09,301.7,transfer,1,0,US,low,0,Anna Henderson,0.6626629812599115,3.3017
TXN00003119,CUST000096,2023-05-09 05:11:09,243.19,withdrawal,1,0,US,low,0,Anna Henderson,0.6626629812599115,3.24319
TXN00007773,CUST000096,2024-10-05 21:14:09,237.33,payment,0,1,GQ,medium,1,Anna Henderson,0.6626629812599115,3.23733
TXN00004682,CUST000096,2023-11-02 18:34:09,234.06,deposit,1,0,US,low,0,Anna Henderson,0.6626629812599115,3.23406
TXN00003625,CUST000096,2023-07-06 20:01:09,150.38,withdrawal,1,0,US,low,0,Anna Henderson,0.6626629812599115,3.15038
TXN00004701,CUST000096,2023-11-04 15:47:09,97.25,withdrawal,1,0,US,low,0,Anna Henderson,0.6626629812599115,3.09725
TXN00008608,CUST000096,2024-12-31 14:10:09,87.8,payment,0,1,MA,low,0,Anna Henderson,0.6626629812599115,2.0878
